收寄城市,寄达城市,经转次数,路线
石家庄,青岛,1,石家庄-济南-青岛
石家庄,济宁,1,石家庄-济南-济宁
石家庄,临沂,1,石家庄-济南-临沂
石家庄,漯河,1,石家庄-郑州-漯河
石家庄,信阳,1,石家庄-郑州-信阳
石家庄,洛阳,1,石家庄-郑州-洛阳
石家庄,荆州,1,石家庄-武汉-荆州
石家庄,襄阳,1,石家庄-郑州-襄阳
石家庄,常德,1,石家庄-长沙-常德
石家庄,衡阳,1,石家庄-长沙-衡阳
石家庄,汕头,1,石家庄-福州-汕头
石家庄,深圳,1,石家庄-武汉-深圳
石家庄,东莞,1,石家庄-郑州-东莞
石家庄,湛江,1,石家庄-广州-湛江
石家庄,中山,1,石家庄-广州-中山
石家庄,柳州,1,石家庄-南宁-柳州
石家庄,南充,1,石家庄-重庆-南充
石家庄,内江,1,石家庄-重庆-内江
石家庄,大理州,2,石家庄-西安-昆明-大理州
石家庄,宝鸡,1,石家庄-西安-宝鸡
石家庄,阿克苏,1,石家庄-兰州-阿克苏
石家庄,喀什,2,石家庄-兰州-阿克苏-喀什
太原,北京,0,太原-北京
太原,天津,0,太原-天津
太原,石家庄,0,太原-石家庄
太原,呼和浩特,0,太原-呼和浩特
太原,沈阳,0,太原-沈阳
太原,长春,1,太原-天津-长春
太原,哈尔滨,1,太原-天津-哈尔滨
太原,上海,0,太原-上海
太原,南京,0,太原-南京
太原,杭州,0,太原-杭州
太原,合肥,0,太原-合肥
太原,福州,1,太原-郑州-福州
太原,南昌,0,太原-南昌
太原,济南,0,太原-济南
太原,郑州,0,太原-郑州
太原,武汉,0,太原-武汉
太原,长沙,0,太原-长沙
太原,广州,0,太原-广州
太原,南宁,1,太原-郑州-南宁
太原,海口,1,太原-长沙-海口
太原,重庆,0,太原-重庆
太原,成都,0,太原-成都
太原,贵阳,1,太原-重庆-贵阳
太原,昆明,1,太原-西安-昆明
太原,拉萨,2,太原-西安-西宁-拉萨
太原,西安,0,太原-西安
太原,兰州,1,太原-西安-兰州
太原,西宁,1,太原-西安-西宁
太原,银川,1,太原-呼和浩特-银川
太原,乌鲁木齐,1,太原-西安-乌鲁木齐
太原,唐山,1,太原-天津-唐山
太原,廊坊,1,太原-石家庄-廊坊
太原,保定,1,太原-石家庄-保定
太原,侯马,0,太原-侯马
太原,包头,1,太原-呼和浩特-包头
太原,大连,1,太原-北京-大连
太原,锦州,1,太原-北京-锦州
太原,常州,1,太原-南京-常州
太原,无锡,1,太原-南京-无锡
太原,苏州,1,太原-南京-苏州
太原,徐州,1,太原-郑州-徐州
太原,连云港,1,太原-南京-连云港
太原,淮安,1,太原-南京-淮安
太原,盐城,1,太原-南京-盐城
太原,扬州,1,太原-南京-扬州
太原,南通,1,太原-南京-南通
太原,湖州,1,太原-南京-湖州
太原,嘉兴,1,太原-南京-嘉兴
太原,宁波,1,太原-南京-宁波
太原,台州,1,太原-南京-台州
太原,金华,1,太原-合肥-金华
太原,义乌,1,太原-杭州-义乌
太原,温州,1,太原-南京-温州
太原,蚌埠,1,太原-郑州-蚌埠
太原,芜湖,1,太原-合肥-芜湖
太原,安庆,1,太原-合肥-安庆
太原,厦门,1,太原-武汉-厦门
太原,泉州,1,太原-郑州-泉州
太原,鹰潭,1,太原-南昌-鹰潭
太原,赣州,1,太原-南昌-赣州
太原,潍坊,1,太原-济南-潍坊
太原,烟台,1,太原-济南-烟台
太原,青岛,1,太原-济南-青岛
太原,济宁,1,太原-济南-济宁
太原,临沂,1,太原-济南-临沂
太原,漯河,1,太原-郑州-漯河
太原,信阳,1,太原-郑州-信阳
太原,洛阳,1,太原-郑州-洛阳
太原,荆州,1,太原-武汉-荆州
太原,襄阳,1,太原-郑州-襄阳
太原,常德,1,太原-长沙-常德
太原,衡阳,1,太原-长沙-衡阳
太原,汕头,1,太原-广州-汕头
太原,深圳,1,太原-武汉-深圳
太原,东莞,1,太原-郑州-东莞
太原,湛江,1,太原-广州-湛江
太原,中山,1,太原-广州-中山
太原,柳州,1,太原-广州-柳州
太原,南充,1,太原-重庆-南充
太原,内江,1,太原-重庆-内江
太原,大理州,2,太原-西安-昆明-大理州
太原,宝鸡,1,太原-西安-宝鸡
太原,阿克苏,1,太原-西安-阿克苏
太原,喀什,2,太原-西安-阿克苏-喀什
呼和浩特,北京,0,呼和浩特-北京
呼和浩特,天津,1,呼和浩特-北京-天津
呼和浩特,石家庄,0,呼和浩特-石家庄
呼和浩特,太原,0,呼和浩特-太原
呼和浩特,沈阳,0,呼和浩特-沈阳
呼和浩特,长春,1,呼和浩特-北京-长春
呼和浩特,哈尔滨,1,呼和浩特-北京-哈尔滨
呼和浩特,上海,1,呼和浩特-北京-上海
呼和浩特,南京,0,呼和浩特-南京
呼和浩特,杭州,1,呼和浩特-南京-杭州
呼和浩特,合肥,1,呼和浩特-太原-合肥
呼和浩特,福州,1,呼和浩特-石家庄-福州
呼和浩特,南昌,1,呼和浩特-太原-南昌
呼和浩特,济南,0,呼和浩特-济南
呼和浩特,郑州,0,呼和浩特-郑州
呼和浩特,武汉,1,呼和浩特-太原-武汉
呼和浩特,长沙,1,呼和浩特-太原-长沙
呼和浩特,广州,1,呼和浩特-太原-广州
呼和浩特,南宁,1,呼和浩特-郑州-南宁
呼和浩特,海口,2,呼和浩特-太原-长沙-海口
呼和浩特,重庆,1,呼和浩特-西安-重庆
呼和浩特,成都,1,呼和浩特-西安-成都
呼和浩特,贵阳,1,呼和浩特-郑州-贵阳
呼和浩特,昆明,1,呼和浩特-西安-昆明
呼和浩特,拉萨,2,呼和浩特-西安-西宁-拉萨
呼和浩特,西安,0,呼和浩特-西安
呼和浩特,兰州,1,呼和浩特-银川-兰州
呼和浩特,西宁,1,呼和浩特-西安-西宁
呼和浩特,银川,0,呼和浩特-银川
呼和浩特,乌鲁木齐,1,呼和浩特-西安-乌鲁木齐
呼和浩特,唐山,1,呼和浩特-北京-唐山
呼和浩特,廊坊,1,呼和浩特-北京-廊坊
呼和浩特,保定,1,呼和浩特-北京-保定
呼和浩特,侯马,1,呼和浩特-太原-侯马
呼和浩特,包头,0,呼和浩特-包头
呼和浩特,大连,1,呼和浩特-北京-大连
呼和浩特,锦州,1,呼和浩特-北京-锦州
呼和浩特,常州,1,呼和浩特-南京-常州
呼和浩特,无锡,1,呼和浩特-济南-无锡
呼和浩特,苏州,1,呼和浩特-南京-苏州
呼和浩特,徐州,1,呼和浩特-济南-徐州
呼和浩特,连云港,1,呼和浩特-南京-连云港
呼和浩特,淮安,1,呼和浩特-南京-淮安
呼和浩特,盐城,1,呼和浩特-南京-盐城
呼和浩特,扬州,1,呼和浩特-南京-扬州
呼和浩特,南通,1,呼和浩特-南京-南通
呼和浩特,湖州,1,呼和浩特-南京-湖州
呼和浩特,嘉兴,1,呼和浩特-南京-嘉兴
呼和浩特,宁波,1,呼和浩特-南京-宁波
呼和浩特,台州,1,呼和浩特-南京-台州
呼和浩特,金华,1,呼和浩特-南京-金华
呼和浩特,义乌,2,呼和浩特-南京-湖州-义乌
呼和浩特,温州,1,呼和浩特-南京-温州
呼和浩特,蚌埠,1,呼和浩特-石家庄-蚌埠
呼和浩特,芜湖,1,呼和浩特-南京-芜湖
呼和浩特,安庆,1,呼和浩特-南京-安庆
呼和浩特,厦门,1,呼和浩特-南京-厦门
呼和浩特,泉州,1,呼和浩特-郑州-泉州
呼和浩特,鹰潭,1,呼和浩特-南京-鹰潭
呼和浩特,赣州,2,呼和浩特-太原-南昌-赣州
呼和浩特,潍坊,1,呼和浩特-济南-潍坊
呼和浩特,烟台,1,呼和浩特-济南-烟台
呼和浩特,青岛,1,呼和浩特-北京-青岛
呼和浩特,济宁,1,呼和浩特-济南-济宁
呼和浩特,临沂,1,呼和浩特-济南-临沂
呼和浩特,漯河,1,呼和浩特-郑州-漯河
呼和浩特,信阳,1,呼和浩特-郑州-信阳
呼和浩特,洛阳,1,呼和浩特-郑州-洛阳
呼和浩特,荆州,2,呼和浩特-郑州-襄阳-荆州
呼和浩特,襄阳,1,呼和浩特-郑州-襄阳
呼和浩特,常德,2,呼和浩特-太原-长沙-常德
