收寄城市,寄达城市,经转次数,路线,总距离,流量_集包,流量_大件,总流量,加权距离,加权经转次数
天津,福州,1,天津-济南-福州,1848.0,21,693,714,0.2760162036141214,0.00014935941754010896
天津,南昌,0,天津-南昌,1336.0,20,691,711,0.19870576090151168,0.0
天津,济南,0,天津-济南,338.0,87,3673,3760,0.265851395747022,0.0
天津,郑州,0,天津-郑州,708.0,47,1708,1755,0.2599230401544636,0.0
天津,武汉,0,天津-武汉,1145.0,33,1216,1249,0.2991591734190442,0.0
天津,长沙,0,天津-长沙,1491.0,27,937,964,0.30066929335632997,0.0
天津,广州,0,天津-广州,2120.0,55,1898,1953,0.8661089047708201,0.0
天津,南宁,1,天津-武汉-南宁,2344.0,21,696,717,0.3515694767086121,0.00014998697811800858
天津,海口,1,天津-长沙-海口,2666.0,12,341,353,0.19686533491339142,7.3842961332855e-05
天津,重庆,1,天津-石家庄-重庆,1806.0,22,767,789,0.2980774681696045,0.00016504843198759942
天津,成都,1,天津-西安-成都,1893.0,43,1557,1600,0.6335851594474539,0.000334698974879796
天津,贵阳,1,天津-郑州-贵阳,2124.0,24,870,894,0.39721572290271867,0.000187013052214086
天津,昆明,1,天津-西安-昆明,2601.0,19,677,696,0.378690134643122,0.00014559405407271126
天津,拉萨,2,天津-北京-西宁-拉萨,3725.0,4,119,123,0.09584418925971909,5.1459967387768636e-05
天津,西安,0,天津-西安,1108.0,45,1635,1680,0.38938878737515464,0.0
天津,兰州,1,天津-石家庄-兰州,1583.0,18,612,630,0.20861996291116985,0.00013178772135891966
天津,西宁,1,天津-北京-西宁,1781.0,5,161,166,0.061845258204570104,3.472501864377883e-05
天津,银川,1,天津-北京-银川,1242.0,15,506,521,0.1353610512894801,0.00010898635369523357
天津,乌鲁木齐,1,天津-西安-乌鲁木齐,3714.0,20,868,888,0.6899049559504771,0.00018575793105828677
天津,唐山,0,天津-唐山,124.0,25,684,709,0.01839087192220759,0.0
天津,廊坊,0,天津-廊坊,83.0,15,440,455,0.007899941741459684,0.0
天津,保定,1,天津-廊坊-保定,235.0,20,630,650,0.03195329275805552,0.00013597145854491713
天津,侯马,1,天津-太原-侯马,876.0,25,784,809,0.14824738019607084,0.00016923216917359685
天津,包头,1,天津-呼和浩特-包头,802.0,9,371,380,0.06375178724022915,7.949100653395155e-05
天津,大连,1,天津-北京-大连,948.0,18,635,653,0.12949587012843028,0.00013659901912281674
天津,锦州,1,天津-北京-锦州,582.0,17,540,557,0.06781294092667686,0.00011651708063002899
天津,常州,1,天津-南京-常州,1069.0,15,440,455,0.10174744242916149,9.518002098144199e-05
天津,无锡,1,天津-济南-无锡,1080.0,14,425,439,0.09917967373125555,9.183303123264403e-05
天津,苏州,1,天津-南京-苏州,1154.0,24,897,921,0.2223309064171207,0.00019266109741518256
天津,徐州,1,天津-济南-徐州,661.0,18,609,627,0.08669686627625425,0.00013116016078102005
天津,连云港,1,天津-南京-连云港,1267.0,6,179,185,0.04903235388559361,3.8699568970476416e-05
天津,淮安,1,天津-南京-淮安,1132.0,4,113,117,0.027705544393112312,2.4474862538085084e-05
天津,盐城,1,天津-南京-盐城,1201.0,7,249,256,0.0643157550129016,5.355183598076736e-05
天津,扬州,1,天津-南京-扬州,1038.0,6,200,206,0.044730007750373134,4.3092493015773734e-05
天津,南通,1,天津-南京-南通,1173.0,9,311,320,0.07852037950680014,6.69397949759592e-05
天津,湖州,1,天津-南京-湖州,1146.0,5,131,136,0.032603027143040926,2.844941286478266e-05
天津,嘉兴,1,天津-上海-嘉兴,1212.0,8,231,239,0.06059473915967547,4.999565937266953e-05
天津,宁波,1,天津-上海-宁波,1340.0,14,444,458,0.12838215928951774,9.58075815593416e-05
天津,台州,1,天津-南京-台州,1489.0,7,211,218,0.06790247290245721,4.56027353273722e-05
天津,金华,1,天津-南京-金华,1394.0,10,290,300,0.08748194455920667,6.275605778996175e-05
天津,义乌,1,天津-杭州-义乌,1367.0,4,98,102,0.029167760539618424,2.1337059648586996e-05
天津,温州,1,天津-南京-温州,1520.0,12,363,375,0.11923650980092733,7.844507223745218e-05
天津,蚌埠,1,天津-济南-蚌埠,848.0,14,442,456,0.0808900482489491,9.538920784074185e-05
天津,芜湖,1,天津-南京-芜湖,1044.0,7,238,245,0.05350581487172139,5.125078052846876e-05
天津,安庆,1,天津-南京-安庆,1221.0,7,224,231,0.05900136285238834,4.832216449827055e-05
天津,厦门,1,天津-南昌-厦门,1980.0,14,413,427,0.17685912206367022,8.932278892104555e-05
天津,泉州,1,天津-郑州-泉州,2199.0,10,290,300,0.1380005710801259,6.275605778996175e-05
天津,鹰潭,1,天津-南京-鹰潭,1498.0,4,105,109,0.03415644876020178,2.28013676636861e-05
天津,赣州,1,天津-南昌-赣州,1725.0,5,167,172,0.06206574115427217,3.5980139799578073e-05
天津,潍坊,1,天津-济南-潍坊,540.0,19,730,749,0.08460771711242643,0.00015668095761560451
天津,烟台,1,天津-济南-烟台,785.0,18,734,752,0.12348718678190074,0.00015730851819350413
天津,青岛,1,天津-济南-青岛,727.0,45,1953,1998,0.3038535357285926,0.00041795534488114525
天津,济宁,1,天津-济南-济宁,538.0,16,630,646,0.0727024745759521,0.00013513471110771763
天津,临沂,1,天津-济南-临沂,613.0,17,653,670,0.08591513498305063,0.00014015519573091456
天津,漯河,1,天津-郑州-漯河,888.0,21,666,687,0.12761569863704303,0.0001437113723390124
天津,信阳,1,天津-郑州-信阳,1061.0,24,731,755,0.16757017957645937,0.00015793607877140375
天津,洛阳,1,天津-郑州-洛阳,832.0,19,577,596,0.10372990629474638,0.00012467536814272402
天津,荆州,1,天津-武汉-荆州,1369.0,3,82,85,0.024342028882429662,1.7780883040489162e-05
天津,襄阳,1,天津-郑州-襄阳,1104.0,8,210,218,0.05034541980141891,4.56027353273722e-05
天津,常德,1,天津-长沙-常德,1666.0,5,173,178,0.06203394475165859,3.723526095537731e-05
天津,衡阳,1,天津-长沙-衡阳,1682.0,9,262,271,0.09535197257978649,5.6689638870265446e-05
天津,汕头,1,天津-杭州-汕头,2364.0,13,382,395,0.19533450547703493,8.262880942344963e-05
天津,深圳,1,天津-武汉-深圳,2202.0,21,722,743,0.3422476918844912,0.00015542583645980528
天津,东莞,1,天津-广州-东莞,2185.0,16,479,495,0.2262512773472596,0.00010354749535343689
天津,湛江,1,天津-广州-湛江,2536.0,8,230,238,0.12625849429390545,4.978647251336965e-05
天津,中山,1,天津-广州-中山,2206.0,17,485,502,0.2316560382309904,0.00010501180336853599
天津,柳州,1,天津-广州-柳州,2620.0,10,286,296,0.16222859312423712,6.191931035276226e-05
天津,南充,2,天津-石家庄-重庆-南充,1996.0,10,324,334,0.1394573483682902,0.00013973682201231483
天津,内江,2,天津-石家庄-重庆-内江,1986.0,3,59,62,0.0257575963593119,2.593917055318419e-05
天津,大理州,2,天津-西安-昆明-大理州,2935.0,5,148,153,0.09393640510290424,6.401117894576098e-05
天津,宝鸡,1,天津-西安-宝鸡,1286.0,4,128,132,0.03550988773987196,2.761266542758317e-05
天津,阿克苏,1,天津-西安-阿克苏,4426.0,4,150,154,0.1425826000462303,3.2214776332180365e-05
天津,喀什,2,天津-西安-阿克苏-喀什,4901.0,1,41,42,0.04305944149200436,1.757169618118929e-05
石家庄,北京,0,石家庄-北京,316.0,518,6292,6810,0.4501617537389536,0.0
石家庄,天津,0,石家庄-天津,327.0,281,3310,3591,0.2456391338408904,0.0
石家庄,太原,0,石家庄-太原,225.0,226,2659,2885,0.13578842004302974,0.0
石家庄,呼和浩特,0,石家庄-呼和浩特,595.0,129,1422,1551,0.19304704717059085,0.0
石家庄,沈阳,0,石家庄-沈阳,987.0,297,3517,3814,0.7874667785119074,0.0
石家庄,长春,0,石家庄-长春,1278.0,206,2420,2626,0.7020369570424325,0.0
石家庄,哈尔滨,0,石家庄-哈尔滨,1538.0,269,3152,3421,1.1006362418325606,0.0
石家庄,上海,0,石家庄-上海,1137.0,245,3074,3319,0.7894090785005068,0.0
石家庄,南京,0,石家庄-南京,900.0,106,1260,1366,0.25717432482326325,0.0
石家庄,杭州,0,石家庄-杭州,1182.0,129,1538,1667,0.412180532443313,0.0
石家庄,合肥,0,石家庄-合肥,873.0,130,1486,1616,0.2951141271207625,0.0
石家庄,福州,0,石家庄-福州,1683.0,140,1604,1744,0.6139952284477393,0.0
石家庄,南昌,0,石家庄-南昌,1227.0,146,1665,1811,0.46483349248966876,0.0
石家庄,济南,0,石家庄-济南,329.0,332,3937,4269,0.2938031530735302,0.0
石家庄,郑州,0,石家庄-郑州,415.0,266,3207,3473,0.30149997437460974,0.0
石家庄,武汉,0,石家庄-武汉,897.0,227,2725,2952,0.5539150889619416,0.0
石家庄,长沙,0,石家庄-长沙,1229.0,201,2379,2580,0.6632938772052217,0.0
石家庄,广州,0,石家庄-广州,1859.0,440,5335,5775,2.2457725950571237,0.0
石家庄,南宁,0,石家庄-南宁,2073.0,152,1786,1938,0.8404027683788959,0.0
石家庄,海口,1,石家庄-长沙-海口,2404.0,86,967,1053,0.5295381258740088,0.00022027376284276573
石家庄,重庆,0,石家庄-重庆,1483.0,148,1791,1939,0.6015245538305775,0.0
石家庄,成都,0,石家庄-成都,1574.0,300,3555,3855,1.2692977492539874,0.0
石家庄,贵阳,0,石家庄-贵阳,1809.0,216,2514,2730,1.0330839477325713,0.0
石家庄,昆明,1,石家庄-西安-昆明,2294.0,137,1540,1677,0.8047497968272629,0.00035080636304588616
石家庄,拉萨,2,石家庄-兰州-西宁-拉萨,3424.0,18,219,237,0.16975262607953492,9.915457130813957e-05
石家庄,西安,0,石家庄-西安,801.0,338,4000,4338,0.7268695291099204,0.0
石家庄,兰州,0,石家庄-兰州,1260.0,132,1589,1721,0.4536133369174015,0.0
石家庄,西宁,1,石家庄-兰州-西宁,1480.0,12,134,146,0.04520109655751645,3.054128145778138e-05
石家庄,银川,1,石家庄-呼和浩特-银川,1258.0,85,948,1033,0.27184125227621453,0.0002160900256567683
石家庄,乌鲁木齐,1,石家庄-兰州-乌鲁木齐,3234.0,90,1075,1165,0.7881345029667927,0.00024370269108435147
石家庄,唐山,0,石家庄-唐山,441.0,91,1017,1108,0.1022145566859781,0.0
石家庄,廊坊,0,石家庄-廊坊,302.0,63,715,778,0.049149707713660847,0.0
石家庄,保定,0,石家庄-保定,156.0,132,1431,1563,0.05100561352936931,0.0
石家庄,侯马,1,石家庄-太原-侯马,566.0,123,1364,1487,0.17606044663486328,0.0003110608597789104
石家庄,包头,1,石家庄-呼和浩特-包头,783.0,36,388,424,0.06944836379268327,8.869522834314594e-05
石家庄,大连,1,石家庄-北京-大连,1152.0,68,797,865,0.20845052155513694,0.00018094663329438972
石家庄,锦州,1,石家庄-北京-锦州,786.0,60,668,728,0.11969839438626144,0.00015228803357030717
石家庄,常州,1,石家庄-南京-常州,1032.0,69,768,837,0.18069226207348107,0.00017508940123399329
石家庄,无锡,1,石家庄-济南-无锡,1071.0,61,722,783,0.175422635900858,0.00016379331083180018
石家庄,苏州,1,石家庄-南京-苏州,1117.0,121,1468,1589,0.3712884760005146,0.0003323979194274974
石家庄,徐州,1,石家庄-济南-徐州,652.0,103,1178,1281,0.17471537512956511,0.00026796836676313667
石家庄,连云港,1,石家庄-南京-连云港,1230.0,28,327,355,0.09134144211328933,7.426133505145473e-05
石家庄,淮安,1,石家庄-南京-淮安,1095.0,19,219,238,0.054516187402139774,4.978647251336965e-05
石家庄,盐城,1,石家庄-南京-盐城,1164.0,41,459,500,0.1217467521125258,0.00010459342964993625
石家庄,扬州,1,石家庄-南京-扬州,1001.0,28,321,349,0.07307922010955116,7.30062138956555e-05
石家庄,南通,1,石家庄-南京-南通,1136.0,47,549,596,0.14163121821013447,0.00012467536814272402
石家庄,湖州,1,石家庄-南京-湖州,1109.0,25,291,316,0.07330827972048452,6.610304753875971e-05
石家庄,嘉兴,1,石家庄-南京-嘉兴,1186.0,42,534,576,0.1429030743146777,0.00012049163095672656
